,time_stamp,numberOfTaskIndex,numberOfMachineId,meanCPUUsage,CMU,AssignMem,unmapped_cache_usage,page_cache_usage,max_mem_usage,mean_diskIO_time,mean_local_disk_space,max_cpu_usage,max_disk_io_time,cpi,mai,sampled_cpu_usage
time_stamp,1.0,0.0526486959717,0.0526486959717,-0.0181060285285,0.00888999952338,0.0125731266888,-0.0412089942201,-0.0326814251751,0.00218510950327,-0.70982517569,0.0769556617037,0.0125123679114,-0.756301170916,0.0981873897292,0.109552517189,-0.0190178438351
numberOfTaskIndex,0.0526486959717,1.0,1.0,0.754466472709,0.966634392386,0.98106038978,0.882695254018,0.893406733887,0.972093278525,0.17615982687,0.670995466608,0.837230732712,0.191825475886,0.882950349716,0.758563685845,0.754749249436
numberOfMachineId,0.0526486959717,1.0,1.0,0.754466472709,0.966634392386,0.98106038978,0.882695254018,0.893406733887,0.972093278525,0.17615982687,0.670995466608,0.837230732712,0.191825475886,0.882950349716,0.758563685845,0.754749249436
meanCPUUsage,-0.0181060285285,0.754466472709,0.754466472709,1.0,0.849556312178,0.792120713219,0.906197537755,0.905896209746,0.848491955119,0.39456841615,0.805473680323,0.849717789023,0.336879796607,0.397998885354,0.200957409237,0.999066342741
CMU,0.00888999952338,0.966634392386,0.966634392386,0.849556312178,1.0,0.993384123719,0.961686762019,0.968160842603,0.995839232219,0.262049361383,0.768478429361,0.833034825424,0.255518361358,0.773920695604,0.619715469961,0.8497228621
AssignMem,0.0125731266888,0.98106038978,0.98106038978,0.792120713219,0.993384123719,1.0,0.938573799284,0.946183846915,0.989149225699,0.226364765315,0.733762823959,0.805642410991,0.231498288509,0.830407827216,0.69117697502,0.792495920162
unmapped_cache_usage,-0.0412089942201,0.882695254018,0.882695254018,0.906197537755,0.961686762019,0.938573799284,1.0,0.999547895628,0.951217771384,0.349145891679,0.835782231064,0.781875549144,0.315404232533,0.636978580696,0.467108008302,0.906037358125
page_cache_usage,-0.0326814251751,0.893406733887,0.893406733887,0.905896209746,0.968160842603,0.946183846915,0.999547895628,1.0,0.958596341834,0.341220493999,0.831819119503,0.793032698295,0.309659757973,0.649368318019,0.479822211215,0.905741167909
max_mem_usage,0.00218510950327,0.972093278525,0.972093278525,0.848491955119,0.995839232219,0.989149225699,0.951217771384,0.958596341834,1.0,0.263392002607,0.735147546732,0.866836664994,0.260353415588,0.785788257522,0.63501044439,0.848728022497
mean_diskIO_time,-0.70982517569,0.17615982687,0.17615982687,0.39456841615,0.262049361383,0.226364765315,0.349145891679,0.341220493999,0.263392002607,1.0,0.264037170072,0.280739451785,0.981929032269,-0.0200693253556,-0.10170517058,0.393916292625
mean_local_disk_space,0.0769556617037,0.670995466608,0.670995466608,0.805473680323,0.768478429361,0.733762823959,0.835782231064,0.831819119503,0.735147546732,0.264037170072,1.0,0.5416962217,0.207641561763,0.396414986926,0.228732037508,0.80308195492
max_cpu_usage,0.0125123679114,0.837230732712,0.837230732712,0.849717789023,0.833034825424,0.805642410991,0.781875549144,0.793032698295,0.866836664994,0.280739451785,0.5416962217,1.0,0.277594015859,0.601152879389,0.449776561691,0.849211557495
max_disk_io_time,-0.756301170916,0.191825475886,0.191825475886,0.336879796607,0.255518361358,0.231498288509,0.315404232533,0.309659757973,0.260353415588,0.981929032269,0.207641561763,0.277594015859,1.0,0.032025010098,-0.0373307620414,0.33616147613
cpi,0.0981873897292,0.882950349716,0.882950349716,0.397998885354,0.773920695604,0.830407827216,0.636978580696,0.649368318019,0.785788257522,-0.0200693253556,0.396414986926,0.601152879389,0.032025010098,1.0,0.974260646262,0.399506484809
mai,0.109552517189,0.758563685845,0.758563685845,0.200957409237,0.619715469961,0.69117697502,0.467108008302,0.479822211215,0.63501044439,-0.10170517058,0.228732037508,0.449776561691,-0.0373307620414,0.974260646262,1.0,0.203002682982
sampled_cpu_usage,-0.0190178438351,0.754749249436,0.754749249436,0.999066342741,0.8497228621,0.792495920162,0.906037358125,0.905741167909,0.848728022497,0.393916292625,0.80308195492,0.849211557495,0.33616147613,0.399506484809,0.203002682982,1.0
